Symbol,Date,Close,Volume,PreviousDayVolume,VolumeChange,VolumeChangePercent
MSFT,1986-03-13,0.097222,1031788800,,,
MSFT,1986-03-14,0.100694,308160000,1031788800,-723628800,-70.133422653938482
MSFT,1986-03-17,0.102431,133171200,308160000,-174988800,-56.785046728971963
MSFT,1986-03-18,0.099826,67766400,133171200,-65404800,-49.113321799307954
MSFT,1986-03-19,0.09809,47894400,67766400,-19872000,-29.324266893327668
MSFT,1986-03-20,0.095486,58435200,47894400,10540800,22.008418520745639
MSFT,1986-03-21,0.092882,59990400,58435200,1555200,2.661409561360276
MSFT,1986-03-24,0.090278,65289600,59990400,5299200,8.8334133461353819
MSFT,1986-03-25,0.092014,32083200,65289600,-33206400,-50.860167622408468
MSFT,1986-03-26,0.094618,22752000,32083200,-9331200,-29.084380610412925
MSFT,1986-03-27,0.096354,16848000,22752000,-5904000,-25.949367088607595
MSFT,1986-03-31,0.095486,12873600,16848000,-3974400,-23.589743589743588
MSFT,1986-04-01,0.094618,11088000,12873600,-1785600,-13.870246085011187
MSFT,1986-04-02,0.095486,27014400,11088000,15926400,143.63636363636363
MSFT,1986-04-03,0.096354,23040000,27014400,-3974400,-14.712153518123666
MSFT,1986-04-04,0.096354,26582400,23040000,3542400,15.375
MSFT,1986-04-07,0.094618,16560000,26582400,-10022400,-37.703141928494041
MSFT,1986-04-08,0.095486,10252800,16560000,-6307200,-38.086956521739133
MSFT,1986-04-09,0.097222,12153600,10252800,1900800,18.539325842696631
MSFT,1986-04-10,0.09809,13881600,12153600,1728000,14.218009478672986
MSFT,1986-04-11,0.099826,17222400,13881600,3340800,24.066390041493776
MSFT,1986-04-14,0.100694,12153600,17222400,-5068800,-29.431438127090303
MSFT,1986-04-15,0.100694,9302400,12153600,-2851200,-23.459715639810426
MSFT,1986-04-16,0.104167,31910400,9302400,22608000,243.03405572755418
MSFT,1986-04-17,0.105035,22003200,31910400,-9907200,-31.046931407942242
MSFT,1986-04-18,0.101563,21628800,22003200,-374400,-1.7015706806282722
MSFT,1986-04-21,0.101563,22924800,21628800,1296000,5.9920106524633825
MSFT,1986-04-22,0.099826,15552000,22924800,-7372800,-32.1608040201005
MSFT,1986-04-23,0.10026,15609600,15552000,57600,0.37037037037037041
MSFT,1986-04-24,0.110243,62352000,15609600,46742400,299.44649446494464
MSFT,1986-04-25,0.117188,85795200,62352000,23443200,37.598152424942263
MSFT,1986-04-28,0.118056,28886400,85795200,-56908800,-66.330983551527353
MSFT,1986-04-29,0.114583,30326400,28886400,1440000,4.9850448654037889
MSFT,1986-04-30,0.111979,30902400,30326400,576000,1.899335232668566
MSFT,1986-05-01,0.110243,54345600,30902400,23443200,75.862068965517238
MSFT,1986-05-02,0.110243,20246400,54345600,-34099200,-62.745098039215684
MSFT,1986-05-05,0.109375,3254400,20246400,-16992000,-83.926031294452358
MSFT,1986-05-06,0.110243,9734400,3254400,6480000,199.11504424778761
MSFT,1986-05-07,0.110243,5155200,9734400,-4579200,-47.0414201183432
MSFT,1986-05-08,0.111111,3542400,5155200,-1612800,-31.284916201117319
MSFT,1986-05-09,0.110243,6076800,3542400,2534400,71.544715447154474
MSFT,1986-05-12,0.111111,10483200,6076800,4406400,72.511848341232238
MSFT,1986-05-13,0.111979,3830400,10483200,-6652800,-63.46153846153846
MSFT,1986-05-14,0.111111,9302400,3830400,5472000,142.85714285714286
MSFT,1986-05-15,0.111111,3801600,9302400,-5500800,-59.133126934984524
MSFT,1986-05-16,0.111979,11952000,3801600,8150400,214.39393939393941
MSFT,1986-05-19,0.110243,11001600,11952000,-950400,-7.9518072289156621
MSFT,1986-05-20,0.109375,61977600,11001600,50976000,463.35078534031419
MSFT,1986-05-21,0.107639,8092800,61977600,-53884800,-86.942379182156131
MSFT,1986-05-22,0.107639,4406400,8092800,-3686400,-45.55160142348754
MSFT,1986-05-23,0.107639,4089600,4406400,-316800,-7.18954248366013
MSFT,1986-05-27,0.111111,13881600,4089600,9792000,239.43661971830986
MSFT,1986-05-28,0.114583,15523200,13881600,1641600,11.825726141078837
MSFT,1986-05-29,0.117188,45676800,15523200,30153600,194.24860853432281
MSFT,1986-05-30,0.121528,27072000,45676800,-18604800,-40.731399747793191
MSFT,1986-06-02,0.118056,19728000,27072000,-7344000,-27.127659574468083
MSFT,1986-06-03,0.118056,5011200,19728000,-14716800,-74.59854014598541
MSFT,1986-06-04,0.117188,4723200,5011200,-288000,-5.7471264367816088
MSFT,1986-06-05,0.118924,13708800,4723200,8985600,190.2439024390244
MSFT,1986-06-06,0.118924,3427200,13708800,-10281600,-75.0
MSFT,1986-06-09,0.113715,12672000,3427200,9244800,269.74789915966386
MSFT,1986-06-10,0.113715,3427200,12672000,-9244800,-72.954545454545453
MSFT,1986-06-11,0.113715,2304000,3427200,-1123200,-32.773109243697476
MSFT,1986-06-12,0.109375,13708800,2304000,11404800,495.0
MSFT,1986-06-13,0.109375,7891200,13708800,-5817600,-42.436974789915965
MSFT,1986-06-16,0.108507,9590400,7891200,1699200,21.532846715328464
MSFT,1986-06-17,0.110243,13075200,9590400,3484800,36.336336336336338
MSFT,1986-06-18,0.109375,4348800,13075200,-8726400,-66.740088105726869
MSFT,1986-06-19,0.108507,8467200,4348800,4118400,94.701986754966882
MSFT,1986-06-20,0.108941,3801600,8467200,-4665600,-55.102040816326522
MSFT,1986-06-23,0.110243,46195200,3801600,42393600,1115.1515151515152
MSFT,1986-06-24,0.109375,14572800,46195200,-31622400,-68.453865336658353
MSFT,1986-06-25,0.107639,15235200,14572800,662400,4.5454545454545459
MSFT,1986-06-26,0.104167,19152000,15235200,3916800,25.708884688090738
MSFT,1986-06-27,0.103299,10396800,19152000,-8755200,-45.714285714285715
MSFT,1986-06-30,0.106771,62352000,10396800,51955200,499.7229916897507
MSFT,1986-07-01,0.106771,47577600,62352000,-14774400,-23.695150115473439
MSFT,1986-07-02,0.106771,52617600,47577600,5040000,10.59322033898305
MSFT,1986-07-03,0.108507,14140800,52617600,-38476800,-73.125342090859334
MSFT,1986-07-07,0.104167,14054400,14140800,-86400,-0.61099796334012213
MSFT,1986-07-08,0.101563,14256000,14054400,201600,1.4344262295081966
MSFT,1986-07-09,0.097222,46137600,14256000,31881600,223.63636363636363
MSFT,1986-07-10,0.094618,46886400,46137600,748800,1.6229712858926344
MSFT,1986-07-11,0.097222,17395200,46886400,-29491200,-62.8992628992629
MSFT,1986-07-14,0.09592,28598400,17395200,11203200,64.403973509933778
MSFT,1986-07-15,0.097222,13190400,28598400,-15408000,-53.87713997985901
MSFT,1986-07-16,0.100694,9360000,13190400,-3830400,-29.039301310043669
MSFT,1986-07-17,0.102431,6940800,9360000,-2419200,-25.846153846153847
MSFT,1986-07-18,0.103299,12326400,6940800,5385600,77.593360995850631
MSFT,1986-07-21,0.103299,3513600,12326400,-8812800,-71.495327102803742
MSFT,1986-07-22,0.106771,10512000,3513600,6998400,199.18032786885246
MSFT,1986-07-23,0.104167,20793600,10512000,10281600,97.808219178082183
MSFT,1986-07-24,0.107639,14140800,20793600,-6652800,-31.994459833795013
MSFT,1986-07-25,0.108507,20448000,14140800,6307200,44.602851323828915
MSFT,1986-07-28,0.105903,11808000,20448000,-8640000,-42.25352112676056
MSFT,1986-07-29,0.103299,14054400,11808000,2246400,19.024390243902438
MSFT,1986-07-30,0.099826,26409600,14054400,12355200,87.909836065573771
MSFT,1986-07-31,0.098958,15638400,26409600,-10771200,-40.785169029443843
MSFT,1986-08-01,0.09809,12902400,15638400,-2736000,-17.495395948434624
MSFT,1986-08-04,0.09809,12441600,12902400,-460800,-3.5714285714285712
MSFT,1986-08-05,0.097222,2822400,12441600,-9619200,-77.31481481481481
MSFT,1986-08-06,0.096354,18316800,2822400,15494400,548.9795918367347
MSFT,1986-08-07,0.095486,3657600,18316800,-14659200,-80.0314465408805
MSFT,1986-08-08,0.096354,4147200,3657600,489600,13.385826771653544
MSFT,1986-08-11,0.099826,7948800,4147200,3801600,91.666666666666657
MSFT,1986-08-12,0.102431,9993600,7948800,2044800,25.724637681159418
MSFT,1986-08-13,0.103299,6883200,9993600,-3110400,-31.123919308357351
MSFT,1986-08-14,0.105903,20131200,6883200,13248000,192.46861924686192
MSFT,1986-08-15,0.106337,6105600,20131200,-14025600,-69.670958512160226
MSFT,1986-08-18,0.105035,12787200,6105600,6681600,109.43396226415094
MSFT,1986-08-19,0.105035,20390400,12787200,7603200,59.45945945945946
MSFT,1986-08-20,0.104167,20764800,20390400,374400,1.8361581920903955
MSFT,1986-08-21,0.104167,49536000,20764800,28771200,138.55755894590845
MSFT,1986-08-22,0.102431,5760000,49536000,-43776000,-88.372093023255815
MSFT,1986-08-25,0.102431,2419200,5760000,-3340800,-57.999999999999993
MSFT,1986-08-26,0.101563,10857600,2419200,8438400,348.8095238095238
MSFT,1986-08-27,0.101563,9532800,10857600,-1324800,-12.201591511936339
MSFT,1986-08-28,0.101563,3427200,9532800,-6105600,-64.048338368580062
MSFT,1986-08-29,0.098958,25430400,3427200,22003200,642.01680672268913
MSFT,1986-09-02,0.096354,5212800,25430400,-20217600,-79.501698754246888
MSFT,1986-09-03,0.09375,18316800,5212800,13104000,251.38121546961324
MSFT,1986-09-04,0.101563,39427200,18316800,21110400,115.25157232704402
MSFT,1986-09-05,0.105903,26352000,39427200,-13075200,-33.162892622352082
MSFT,1986-09-08,0.105035,9619200,26352000,-16732800,-63.497267759562838
MSFT,1986-09-09,0.106771,37526400,9619200,27907200,290.11976047904193
MSFT,1986-09-10,0.105035,10886400,37526400,-26640000,-70.990023023791252
MSFT,1986-09-11,0.100694,35654400,10886400,24768000,227.51322751322755
MSFT,1986-09-12,0.09809,24451200,35654400,-11203200,-31.421647819063004
MSFT,1986-09-15,0.099826,22492800,24451200,-1958400,-8.00942285041225
MSFT,1986-09-16,0.099826,5184000,22492800,-17308800,-76.952624839948783
MSFT,1986-09-17,0.102431,8035200,5184000,2851200,55.000000000000007
MSFT,1986-09-18,0.103299,5356800,8035200,-2678400,-33.333333333333329
MSFT,1986-09-19,0.103299,2505600,5356800,-2851200,-53.2258064516129
MSFT,1986-09-22,0.102431,4492800,2505600,1987200,79.3103448275862
MSFT,1986-09-23,0.104167,5961600,4492800,1468800,32.692307692307693
MSFT,1986-09-24,0.102865,4780800,5961600,-1180800,-19.806763285024154
